,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1090,30013,5.4,3.8,5.7,23700,32971,42389,13.25284023,9.9,10.2,8.861869764,7.6,9.3,63.7,64.9,65.9,82.9,33.3,30.4,10.418526,10.4,10.9,2.451559914,2.675560312,0.224000398,80357
1091,30015,2.6,3.5,3.6,22362,29150,41064,7.971014493,8.4,10.1,22.63868066,19.8,20.3,69.3,68.8,65.7,83.4,30.4,35.6,13.11580294,16.5,14.8,0,0,0,5970
1092,30029,7.6,4.1,6.1,24145,34466,44998,11.14365922,8.3,8.7,15.36380148,14.9,20.1,70.6,73.3,70.8,82.1,30.6,32.7,11.71484327,9.4,8.4,2.739321347,3.545004096,0.805682749,74471
1093,30031,4.7,4.5,4.7,23345,38120,50136,10.55789815,6.6,6.6,10.93676815,10.7,13.6,58.5,62.4,61,90.4,21.2,21,9.912583206,6.3,7.4,2.432516106,3.449750114,1.017234008,67831
1094,30047,8.2,4.8,10.9,19755,28740,37274,15.14245515,11.5,11.5,28.78235509,25.1,31.1,70.2,71.4,71.2,77.3,31.8,30.8,16.57995144,14,15.4,1.773116535,1.848568303,0.075451767,26507
1095,30049,4.5,3.5,5.1,26409,37360,50238,14.4964314,9.2,9.4,12.90397908,11,11.6,68.5,70.1,69.2,87.4,29.3,27.2,9.101571663,7.3,5.8,2.728121186,2.997343671,0.269222485,55716
1096,30053,12.3,7.4,9.2,20898,26754,30823,9.785932722,7.8,7.4,16.67083229,16.7,22.5,73.3,76.6,76.2,73.3,38,37.4,11.6727568,14.2,13.7,2.070393375,2.176567394,0.106174019,18837
1097,30061,8.8,4.4,7.1,20938,27143,37256,10.85271318,6,7.3,21.59021407,19.2,21.9,72.9,73.4,74.8,74,43.7,43.5,14.415437,12.8,12.7,0,0,0,3884
1098,30063,5.9,4.3,6,23388,34454,42887,14.71758956,9.2,9.2,8.020080081,7,8.3,60.1,61.9,59.4,85.4,26.5,25.2,12.43528426,8.8,8.8,2.766121793,3.235840588,0.469718795,95802
1099,30069,2.3,1.3,2.1,19219,24107,36875,5.806451613,5.7,4,28.66894198,27.7,30.6,76.1,74.4,72.4,81.9,35.7,44.2,24.22360248,21,18.1,0,0,0,493
1100,30081,8.4,3.5,6.5,21113,31992,43000,8.970901348,7.5,7.7,12.62275881,10.4,13.5,75.1,75.7,74.5,79.1,31.5,34.2,11.09347952,9.6,9.6,1.691156085,2.16246188,0.471305794,36070
1101,30091,2.9,2.1,2,20728,29518,39578,7.991038088,4.8,5.7,21.43152669,19.7,24,77,80.2,76,74.5,31.5,30,11.38211382,10.6,6.4,1.948842875,0,-1.948842875,4105
1102,30093,6.9,4.2,5.6,21216,30402,37986,14.58171745,10.5,10.6,10.17836371,10.8,10.7,70.8,70.4,67.6,78.3,34.3,38.9,11.33156966,10.7,11.6,3.207536265,3.265329712,0.057793446,34606
1103,30095,3.9,4.5,3.9,23582,39205,57227,7.928802589,5,6,23.33637192,18.1,21,73.6,76,78,78.2,39.1,39,8.020833333,6.2,6,0,1.708358755,1.708358755,8195
1104,30101,3.1,2.5,1.7,25108,30169,42949,9.809885932,6.5,7.4,18.35174172,14.7,13.7,71.9,71.2,67.1,77.4,35.1,34.7,10.04601227,9.7,11.3,2.847921018,0,-2.847921018,5267
1105,30103,3.6,2.9,3,18152,29830,37969,7.03125,4.2,2.1,24.33035714,15.4,20.6,64.6,71.4,71.9,85.1,41.1,36.7,15.38461538,8.5,4.6,0,0,0,861
1106,30109,3.2,3.1,6.3,19375,28224,40417,9.17721519,5.9,6.1,19.36056838,28.3,15.1,72.5,73.4,72.2,68.3,34.8,31.1,14.81481481,8.6,7.2,0,0,0,1068
1107,30111,5,3.1,4.3,25942,36727,48641,14.20327869,10.1,10.5,8.388511921,4.5,5.1,65.7,69.2,68.4,83.7,31,30.9,9.026993905,8.5,7.9,2.62848661,2.70579504,0.07730843,129352
1108,31001,1.7,2.4,5.5,24399,37160,44443,11.3738594,8.3,9.5,7.189176207,6.7,6.6,64.5,66.8,67.6,81.2,33.2,32.2,6.130512363,5.5,9.6,2.439729062,2.985457931,0.545728869,31151
1109,31003,1.8,1.4,3,18447,30114,37058,7.08085884,5.5,5.9,12.44968373,11.7,13.5,74,76.4,76,77.5,39.9,40.5,14.488117,10.3,10.4,0,0,0,7452
1110,31019,2.3,2,4.3,23999,36782,47120,11.09616678,8.3,8.5,5.516577246,5.3,5.4,61.8,63.6,63.3,83.3,26.6,29.9,8.031374282,6.3,9.3,2.508341418,2.721313803,0.212972385,42259
1111,31025,2.8,1.8,5,28490,46515,62039,8.598510494,7.6,7.7,12.89241426,10,12.8,76.7,79.5,80.8,82.1,37,33,5.782484451,4.2,2.5,0,1.068463878,1.068463878,24334
1112,31047,2.7,2.5,4.8,22420,36132,41830,8.727337362,7.9,9.7,13.21361268,10,12.1,69.7,69.2,68.8,78.8,35.5,35.2,8.362926136,8.6,10.9,1.60065668,1.97003899,0.369382311,24365
1113,31051,2,2.1,4.5,20047,34201,42388,8.071216617,6.5,7.5,10.52430157,9.7,11.8,74.2,76.3,76.5,76.1,39.5,41.2,11.24330756,7.5,8,1.262028711,0.946521533,-0.315507178,6339
